Country,Language
Antigua and Barbuda,English
Bahamas,English
Barbados,English
Belize,English
Botswanaæ,English
Burundi,English
Cameroon,English
Canada,English
Cook Islands,English
Dominica,English
Eritrea,English
Federated States of Micronesia,English
Fiji,English
Gambia,English
Ghana,English
Grenada,English
Guyana,English
India,English
Ireland,English
Jamaica,English
Kenya,English
Kiribati,English
Lesotho,English
Liberia,English
Malawi,English
Malta,English
Marshall Islands,English
Mauritius,English
Namibia,English
Nauru,English
New Zealand,English
Nigeria,English
Niue,English
Pakistan,English
Palau,English
Papua New Guinea,English
Philippines,English
Rwanda,English
Saint Kitts and Nevis,English
Saint Lucia,English
Saint Vincent and the Grenadines,English
Samoa,English
Seychelles,English
Sierra Leone,English
Singapore,English
Solomon Islands,English
Somaliland,English
South Africa,English
South Sudan,English
Sudan,English
Swaziland,English
Tanzania,English
Tonga,English
Trinidad and Tobago,English
Tuvalu,English
United Kingdom,English
Uganda,English
Vanuatu,English
Zambia,English
Zimbabwe,English
Australia,English
United States,English
Democratic Republic of the Congo,French
France,French
Canada,French
Madagascar,French
Cameroon,French
Ivory Coast,French
Burkina Faso,French
Niger,French
Senegal,French
Mali,French
Rwanda,French
Belgium,French
Guinea,French
Chad,French
Haiti,French
Burundi,French
Benin,French
Switzerland,French
Togo,French
Central African Republic,French
Republic of the Congo,French
Gabon,French
Comoros,French
Equatorial Guinea,French
Djibouti,French
Luxembourg,French
Vanuatu,French
Seychelles,French
Monaco,French
Algeria,Arabic
Bahrain,Arabic
Chad,Arabic
Comoros,Arabic
Djibouti,Arabic
Egypt,Arabic
Eritrea,Arabic
Iraq,Arabic
Israel,Arabic
Jordan,Arabic
Kuwait,Arabic
Lebanon,Arabic
Libya,Arabic
Mauritania,Arabic
Morocco,Arabic
Oman,Arabic
Palestine,Arabic
Qatar,Arabic
Saudi Arabia,Arabic
Somalia,Arabic
Sudan,Arabic
Syria,Arabic
Tunisia,Arabic
United Arab Emirates,Arabic
Sahrawi Arab Democratic Republic,Arabic
Yemen,Arabic
Mexico,Spanish
Spain,Spanish
Colombia,Spanish
Argentina,Spanish
Peru,Spanish
Venezuela,Spanish
Chile,Spanish
Ecuador,Spanish
Guatemala,Spanish
Cuba,Spanish
Bolivia,Spanish
Dominican Republic,Spanish
Honduras,Spanish
Paraguay,Spanish
El Salvador,Spanish
Nicaragua,Spanish
Costa Rica,Spanish
Puerto Ricoa,Spanish
Panama,Spanish
Uruguay,Spanish
Equatorial Guinea,Spanish
Sao Tome and Principe,Portuguese
Portugal,Portuguese
Mozambique,Portuguese
Macau,Portuguese
Guinea-Bissau,Portuguese
Equatorial Guinea,Portuguese
East Timor,Portuguese
Cape Verde,Portuguese
Brazil,Portuguese
Angola,Portuguese
Belarus,Russian
Kazakhstan,Russian
Kyrgyzstan,Russian
Russia,Russian
Tajikistan,Russian
Germany,German
Austria,German
Switzerland,German
Belgium,German
Liechtenstein,German
Luxembourg,German
Italy,German
Namibia,German
Benin,Fula
Burkina Faso,Fula
Guinea,Fula
Mali,Fula
Mauritania,Fula
Niger,Fula
Senegal,Fula
Italy,Italian
Croatia,Italian
San Marino,Italian
Slovenia,Italian
Switzerland,Italian
Vatican City,Italian
Malaysia,Malay
Indonesia,Malay
Singapore,Malay
Brunei,Malay
Burkina Faso,Maning
Guinea,Maning
Mali,Maning
Senegal,Maning
Democratic Republic of the Congo,Swahili
Kenya,Swahili
Tanzania,Swahili
Uganda,Swahili
China,"Chinese, Mandarin"
Taiwan,"Chinese, Mandarin"
Singapore,"Chinese, Mandarin"
Netherlands,Dutch
Belgium,Dutch
Suriname,Dutch
Benin,Gbe
Ghana,Gbe
Togo,Gbe
Angola,Kikongo
Democratic Republic of the Congo,Kikongo
Republic of the Congo,Kikongo
Iran,Persian
Afghanistan,Persian
Tajikistan ,Persian
Romania,Romanian
Moldova,Romanian
Transnistria,Romanian
Serbia,Serbian
Bosnia and Herzegovina,Serbian
Kosovo,Serbian
DjiboutiæSomalia,Somali
Somaliland,Somali
Mali,Soninke
Mauritania,Soninke
Senegal,Soninke
India,Tamil
Singapore,Tamil
Sri Lanka,Tamil
Botswana,Tswana
South Africa,Tswana
Zimbabwe,Tswana
